"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code","sampling_unit_new"
"toledo","forest","hyper",16,10,2021,NA,"soil","apparent_density",NA,0.938629997453527,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/16/10"
"toledo","forest","hyper",16,20,2021,NA,"soil","apparent_density",NA,0.835956200662083,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/16/20"
"toledo","forest","hyper",19,0,2021,NA,"soil","apparent_density",NA,0.93964858670741,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/19/0"
"toledo","forest","hyper",19,10,2021,NA,"soil","apparent_density",NA,0.895951107715813,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/19/10"
"toledo","forest","hyper",19,20,2021,NA,"soil","apparent_density",NA,1.13633817163229,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/19/20"
"toledo","forest","hyper",20,0,2021,NA,"soil","apparent_density",NA,0.957066462948816,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/20/0"
"toledo","forest","hyper",20,10,2021,NA,"soil","apparent_density",NA,1.12105933282404,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/20/10"
"toledo","forest","hyper",20,20,2021,NA,"soil","apparent_density",NA,1.72131398013751,"AD(g/cm3)",NA,NA,"toledo/forest/hyper/20/20"
"toledo","scrub","hyper",21,0,2021,NA,"soil","apparent_density",NA,1.11107715813598,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/21/0"
"toledo","scrub","hyper",21,10,2021,NA,"soil","apparent_density",NA,1.13756047873695,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/21/10"
"toledo","scrub","hyper",21,20,2021,NA,"soil","apparent_density",NA,1.20600967659791,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/21/20"
"toledo","scrub","hyper",22,0,2021,NA,"soil","apparent_density",NA,1.42490450725745,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/22/0"
"toledo","scrub","hyper",22,10,2021,NA,"soil","apparent_density",NA,0.888107970460911,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/22/10"
"toledo","scrub","hyper",22,20,2021,NA,"soil","apparent_density",NA,1.27985739750446,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/22/20"
"toledo","scrub","hyper",25,0,2021,NA,"soil","apparent_density",NA,1.45403615991851,"AD(g/cm3)",NA,NA,"toledo/scrub/hyper/25/0"
