"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","valor","units","comments","author_code"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.197,NA,NA,"222CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",36.073,NA,NA,"221CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.211,NA,NA,"221CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",28.987,NA,NA,"221CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.212,NA,NA,"221CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.948,NA,NA,"232CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.191,NA,NA,"232CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",31.776,NA,NA,"232CL"
"toledo",NA,"high",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.166,NA,NA,"232CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",33.986,NA,NA,"242CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.232,NA,NA,"242CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",27.603,NA,NA,"242CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.227,NA,NA,"242CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",45.809,NA,NA,"335CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.178,NA,NA,"335CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",35.237,NA,NA,"335CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.18,NA,NA,"335CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",43.065,NA,NA,"234CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.194,NA,NA,"234CL"
