"site","habitat","treatment","sampling_unit","indice","valor"
"valencia",NA,"high","T4_P1","delta_shannon",5.39664305892
"valencia",NA,"high","T4_P1","delta_simpson",4.60856553053802
"valencia",NA,"high","T4_P2","delta_abundancia",65
"valencia",NA,"high","T4_P2","delta_riqueza",6
"valencia",NA,"high","T4_P2","delta_shannon",2.59013465971415
"valencia",NA,"high","T4_P2","delta_simpson",1.92714648396881
"valencia",NA,"high","T4_P3","delta_abundancia",-137
"valencia",NA,"high","T4_P3","delta_riqueza",2
"valencia",NA,"high","T4_P3","delta_shannon",2.13022552811438
"valencia",NA,"high","T4_P3","delta_simpson",1.56758156645937
"valencia",NA,"hyper","T1_P1","delta_abundancia",14
"valencia",NA,"hyper","T1_P1","delta_riqueza",1
"valencia",NA,"hyper","T1_P1","delta_shannon",-0.394827148159244
"valencia",NA,"hyper","T1_P1","delta_simpson",-0.560605425959887
"valencia",NA,"hyper","T1_P2","delta_abundancia",-115
"valencia",NA,"hyper","T1_P2","delta_riqueza",2
"valencia",NA,"hyper","T1_P2","delta_shannon",0.901667590659221
"valencia",NA,"hyper","T1_P2","delta_simpson",0.309719997676329
"valencia",NA,"hyper","T1_P3","delta_abundancia",-8
"valencia",NA,"hyper","T1_P3","delta_riqueza",1
"valencia",NA,"hyper","T1_P3","delta_shannon",-0.347001703463127
"valencia",NA,"hyper","T1_P3","delta_simpson",-0.699690323341944
"valencia",NA,"hyper","T2_P1","delta_abundancia",-7
"valencia",NA,"hyper","T2_P1","delta_riqueza",1
"valencia",NA,"hyper","T2_P1","delta_shannon",0.833427055418017
"valencia",NA,"hyper","T2_P1","delta_simpson",0.74880443313399
"valencia",NA,"hyper","T2_P2","delta_abundancia",-35
"valencia",NA,"hyper","T2_P2","delta_riqueza",0
"valencia",NA,"hyper","T2_P2","delta_shannon",1.43669820776351
"valencia",NA,"hyper","T2_P2","delta_simpson",0.827987350484113
"valencia",NA,"hyper","T2_P3","delta_abundancia",-17
"valencia",NA,"hyper","T2_P3","delta_riqueza",4
"valencia",NA,"hyper","T2_P3","delta_shannon",1.3395509115753
"valencia",NA,"hyper","T2_P3","delta_simpson",0.572496924610428
"valencia",NA,"hyper","T3_P1","delta_abundancia",20
"valencia",NA,"hyper","T3_P1","delta_riqueza",1
"valencia",NA,"hyper","T3_P1","delta_shannon",-0.188436299859666
"valencia",NA,"hyper","T3_P1","delta_simpson",-0.599414068295275
"valencia",NA,"hyper","T3_P2","delta_abundancia",-3
"valencia",NA,"hyper","T3_P2","delta_riqueza",-2
"valencia",NA,"hyper","T3_P2","delta_shannon",1.04599700869105
"valencia",NA,"hyper","T3_P2","delta_simpson",0.93608782896285
"valencia",NA,"hyper","T3_P3","delta_abundancia",-104
"valencia",NA,"hyper","T3_P3","delta_riqueza",0
"valencia",NA,"hyper","T3_P3","delta_shannon",1.36541886839447
"valencia",NA,"hyper","T3_P3","delta_simpson",0.674712829639217
"valencia",NA,"hyper","T4_P1","delta_abundancia",37
"valencia",NA,"hyper","T4_P1","delta_riqueza",2
"valencia",NA,"hyper","T4_P1","delta_shannon",0.508284270585327
"valencia",NA,"hyper","T4_P1","delta_simpson",0.535512623521929
"valencia",NA,"hyper","T4_P2","delta_abundancia",-8
"valencia",NA,"hyper","T4_P2","delta_riqueza",-2
"valencia",NA,"hyper","T4_P2","delta_shannon",0.330007201835253
"valencia",NA,"hyper","T4_P2","delta_simpson",0.50157456901295
"valencia",NA,"hyper","T4_P3","delta_abundancia",40
"valencia",NA,"hyper","T4_P3","delta_riqueza",0
"valencia",NA,"hyper","T4_P3","delta_shannon",0.419654927411699
"valencia",NA,"hyper","T4_P3","delta_simpson",0.357337008848655
"toledo",NA,"control","T6_P1","delta_braycurtis",0.464968152866242
"toledo",NA,"control","T6_P2","delta_braycurtis",0.660714285714286
"toledo",NA,"control","T6_P3","delta_braycurtis",0.582329317269076
"toledo",NA,"control","T8_P1","delta_braycurtis",0.509259259259259
"toledo",NA,"control","T8_P2","delta_braycurtis",0.552447552447552
"toledo",NA,"control","T8_P3","delta_braycurtis",0.681528662420382
"toledo",NA,"control","T97_P1","delta_braycurtis",0.512605042016807
"toledo",NA,"control","T97_P10","delta_braycurtis",0.425287356321839
"toledo",NA,"control","T97_P11","delta_braycurtis",0.4625
"toledo",NA,"control","T97_P12","delta_braycurtis",0.376518218623482
"toledo",NA,"control","T97_P2","delta_braycurtis",0.366459627329193
"toledo",NA,"control","T97_P3","delta_braycurtis",0.410071942446043
"toledo",NA,"control","T97_P4","delta_braycurtis",0.228915662650602
"toledo",NA,"control","T97_P5","delta_braycurtis",0.492063492063492
"toledo",NA,"control","T97_P6","delta_braycurtis",0.628099173553719
"toledo",NA,"control","T97_P7","delta_braycurtis",0.521008403361345
"toledo",NA,"control","T97_P8","delta_braycurtis",0.3875
"toledo",NA,"control","T97_P9","delta_braycurtis",0.293103448275862
"toledo",NA,"high","T12_P1","delta_braycurtis",0.58974358974359
"toledo",NA,"high","T12_P2","delta_braycurtis",0.477064220183486
"toledo",NA,"high","T12_P3","delta_braycurtis",0.507936507936508
"toledo",NA,"high","T14_P1","delta_braycurtis",0.428571428571429
"toledo",NA,"high","T14_P2","delta_braycurtis",0.413333333333333
"toledo",NA,"high","T14_P3","delta_braycurtis",0.552845528455285
"toledo",NA,"high","T98_P1","delta_braycurtis",0.414414414414414
"toledo",NA,"high","T98_P10","delta_braycurtis",0.450704225352113
"toledo",NA,"high","T98_P11","delta_braycurtis",0.224669603524229
"toledo",NA,"high","T98_P12","delta_braycurtis",0.3
"toledo",NA,"high","T98_P2","delta_braycurtis",0.506976744186047
